T type,T type class,Dataset,T type sub-class,Specimen ID
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,741313892
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,657857340
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,713442456
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,669088423
Lamp5 Lhx6,CGE interneuron,New Patchseq,Lamp5 interneuron,870661094
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,711212623
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,759955697
Sst Chrna2 Glra3,MGE interneuron,New Patchseq,Sst interneuron,760294832
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,828803869
Sncg Vip Nptx2,CGE interneuron,New Patchseq,Sncg interneuron,643536919
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,713132614
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,701140434
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,718195284
Pvalb Reln Tac1,MGE interneuron,New Patchseq,Pvalb interneuron,682332013
Sst Chrna2 Glra3,MGE interneuron,New Patchseq,Sst interneuron,746732672
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,648139266
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,694734857
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,830434392
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,760832993
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,693085460
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,697810838
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,652299236
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,731765828
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,661422439
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,666141992
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,770216620
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,694689662
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,738859085
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,786228558
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,740732467
Pvalb Reln Tac1,MGE interneuron,New Patchseq,Pvalb interneuron,820897104
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,657661984
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,692846027
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,659405820
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,768763533
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,744975652
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,718202813
Pvalb Reln Tac1,MGE interneuron,New Patchseq,Pvalb interneuron,714228701
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,827573535
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,697787349
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,808475329
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,639962984
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,679457550
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,646852171
Sst Chrna2 Glra3,MGE interneuron,New Patchseq,Sst interneuron,821771315
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,740695122
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,714601733
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,741940660
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,740890186
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,795572082
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,689656936
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,691665864
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,688958418
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,746917764
Sst Tac2 Myh4,MGE interneuron,New Patchseq,Sst interneuron,601790961
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,720207494
Sncg Vip Nptx2,CGE interneuron,New Patchseq,Sncg interneuron,855357345
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,764391439
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,707403326
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,740675145
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,645012440
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,720318238
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,627881581
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,639862877
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,673395815
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,689211404
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,809113087
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,827524052
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,653699672
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,745633800
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,758263126
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,751947558
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,691719142
Vip Lmo1 Fam159b,CGE interneuron,New Patchseq,Vip interneuron,639674270
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,831988252
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,746257405
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,704047023
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,841834394
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,718644056
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,639841063
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,847083836
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,851016910
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,740155221
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,759939473
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,694146546
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,656705176
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,778327002
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,829185764
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,698570301
Vip Lect1 Oxtr,CGE interneuron,New Patchseq,Vip interneuron,763952780
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,657858349
Vip Chat Htr1f,CGE interneuron,New Patchseq,Vip interneuron,755552030
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,652305423
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,760981484
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,842844583
Lamp5 Lhx6,CGE interneuron,New Patchseq,Lamp5 interneuron,711483278
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,992386952
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,886335606
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,859655391
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,744454952
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,889183564
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,700390241
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,639797308
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,770238836
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,887048277
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,752063316
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,652812484
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,795844214
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,642124659
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,659697295
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,796636728
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,892547707
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,904023586
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,674495385
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,657442490
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,837594867
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,689098357
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,825522397
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,762757594
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,738401019
Pvalb Th Sst,MGE interneuron,New Patchseq,Pvalb interneuron,688145929
Sst Tac1 Tacr3,MGE interneuron,New Patchseq,Sst interneuron,623326230
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,935032340
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,805584825
Pvalb Calb1 Sst,MGE interneuron,New Patchseq,Pvalb interneuron,662580082
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,669165397
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,809688289
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,742033571
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,760834631
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,761344650
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,718872930
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,816012073
Vip Lect1 Oxtr,CGE interneuron,New Patchseq,Vip interneuron,680027413
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,759948010
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,602535278
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,889235347
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,888108541
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,720186469
Pvalb Calb1 Sst,MGE interneuron,New Patchseq,Pvalb interneuron,674126167
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,661189529
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,695316536
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,764896381
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,705817510
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,740135032
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,779708399
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,601811091
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,669838950
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,857296784
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,657454163
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,741796557
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,656706125
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,841718359
Vip Chat Htr1f,CGE interneuron,New Patchseq,Vip interneuron,796666943
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,656156755
Vip Chat Htr1f,CGE interneuron,New Patchseq,Vip interneuron,797664123
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,644994103
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,743049614
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,761822060
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,746754997
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,743468218
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,808285808
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,866267921
Vip Ptprt Pkp2,CGE interneuron,New Patchseq,Vip interneuron,730796336
Vip Chat Htr1f,CGE interneuron,New Patchseq,Vip interneuron,887288382
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,679932490
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,861765455
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,683899155
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,738043822
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,709153201
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,759970262
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,740094065
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,711528753
Vip Rspo1 Itga4,CGE interneuron,New Patchseq,Vip interneuron,658447323
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,637846989
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,716832846
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,710743304
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,823830483
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,743041228
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,829195312
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,821563005
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,718618263
Vipr2-IRES2-Cre-neo,,Older Gouwen,,603748061
Vipr2-IRES2-Cre,,Older Gouwen,,579662784
Vipr2-IRES2-Cre,,Older Gouwen,,589452470
Vipr2-IRES2-Cre,,Older Gouwen,,573410831
Vipr2-IRES2-Cre,,Older Gouwen,,579662957
Vipr2-IRES2-Cre,,Older Gouwen,,590556126
Vipr2-IRES2-Cre,,Older Gouwen,,590558808
Vipr2-IRES2-Cre,,Older Gouwen,,571292875
Vipr2-IRES2-Cre,,Older Gouwen,,580138266
Vipr2-IRES2-Cre,,Older Gouwen,,573404307
Vipr2-IRES2-Cre,,Older Gouwen,,580145037
Vipr2-IRES2-Cre,,Older Gouwen,,573680326
Vipr2-IRES2-Cre,,Older Gouwen,,579652000
Vipr2-IRES2-Cre,,Older Gouwen,,569073509
Vipr2-IRES2-Cre,,Older Gouwen,,571306508
Vipr2-IRES2-Cre,,Older Gouwen,,571295641
Vipr2-IRES2-Cre,,Older Gouwen,,580149939
Vipr2-IRES2-Cre,,Older Gouwen,,568951556
Vipr2-IRES2-Cre,,Older Gouwen,,568990770
Vipr2-IRES2-Cre,,Older Gouwen,,589444632
Vipr2-IRES2-Cre,,Older Gouwen,,579660456
Vipr2-IRES2-Cre,,Older Gouwen,,569072334
Vipr2-IRES2-Cre,,Older Gouwen,,590556221
Vipr2-IRES2-Cre,,Older Gouwen,,573660880
Vipr2-IRES2-Cre,,Older Gouwen,,571306690
Vipr2-IRES2-Cre,,Older Gouwen,,571956282
Vipr2-IRES2-Cre,,Older Gouwen,,571939040
Vipr2-IRES2-Cre,,Older Gouwen,,573685602
Vip-IRES-Cre,,Older Gouwen,,591517805
Vip-IRES-Cre,,Older Gouwen,,585080288
Vip-IRES-Cre,,Older Gouwen,,592819166
Vip-IRES-Cre,,Older Gouwen,,560678143
Vip-IRES-Cre,,Older Gouwen,,570098593
Vip-IRES-Cre,,Older Gouwen,,524689239
Vip-IRES-Cre,,Older Gouwen,,582641339
Vip-IRES-Cre,,Older Gouwen,,594594470
Vip-IRES-Cre,,Older Gouwen,,584495731
Vip-IRES-Cre,,Older Gouwen,,591622050
Vip-IRES-Cre,,Older Gouwen,,594047832
Vip-IRES-Cre,,Older Gouwen,,582917630
Vip-IRES-Cre,,Older Gouwen,,565213849
Vip-IRES-Cre,,Older Gouwen,,584517193
Vip-IRES-Cre,,Older Gouwen,,593655447
Vip-IRES-Cre,,Older Gouwen,,501570114
Vip-IRES-Cre,,Older Gouwen,,524693113
Vip-IRES-Cre,,Older Gouwen,,584561230
Vip-IRES-Cre,,Older Gouwen,,575910132
Vip-IRES-Cre,,Older Gouwen,,592833901
Vip-IRES-Cre,,Older Gouwen,,592816620
Vip-IRES-Cre,,Older Gouwen,,569802200
Vip-IRES-Cre,,Older Gouwen,,591396115
Vip-IRES-Cre,,Older Gouwen,,591626585
Vip-IRES-Cre,,Older Gouwen,,520347870
Vip-IRES-Cre,,Older Gouwen,,501736631
Vip-IRES-Cre,,Older Gouwen,,560814288
Vip-IRES-Cre,,Older Gouwen,,591616101
Vip-IRES-Cre,,Older Gouwen,,594611511
Vip-IRES-Cre,,Older Gouwen,,562527850
Vip-IRES-Cre,,Older Gouwen,,575919223
Vip-IRES-Cre,,Older Gouwen,,522418855
Vip-IRES-Cre,,Older Gouwen,,569794458
Vip-IRES-Cre,,Older Gouwen,,570896453
Vip-IRES-Cre,,Older Gouwen,,568767467
Vip-IRES-Cre,,Older Gouwen,,591627904
Vip-IRES-Cre,,Older Gouwen,,593646143
Vip-IRES-Cre,,Older Gouwen,,560690405
Vip-IRES-Cre,,Older Gouwen,,570924514
Vip-IRES-Cre,,Older Gouwen,,576285618
Vip-IRES-Cre,,Older Gouwen,,515264431
Vip-IRES-Cre,,Older Gouwen,,571255047
Vip-IRES-Cre,,Older Gouwen,,524876305
Vip-IRES-Cre,,Older Gouwen,,593646579
Vip-IRES-Cre,,Older Gouwen,,560690291
Vip-IRES-Cre,,Older Gouwen,,568757860
Vip-IRES-Cre,,Older Gouwen,,593054951
Vip-IRES-Cre,,Older Gouwen,,569810649
Vip-IRES-Cre,,Older Gouwen,,570014498
Vip-IRES-Cre,,Older Gouwen,,576336240
Vip-IRES-Cre,,Older Gouwen,,571233863
Vip-IRES-Cre,,Older Gouwen,,569809287
Vip-IRES-Cre,,Older Gouwen,,523478821
Vip-IRES-Cre,,Older Gouwen,,562530336
Vip-IRES-Cre,,Older Gouwen,,523205934
Vip-IRES-Cre,,Older Gouwen,,570896413
Vip-IRES-Cre,,Older Gouwen,,562540395
Vip-IRES-Cre,,Older Gouwen,,523478869
Vip-IRES-Cre,,Older Gouwen,,570932699
Vip-IRES-Cre,,Older Gouwen,,584587128
Vip-IRES-Cre,,Older Gouwen,,575920560
Vip-IRES-Cre,,Older Gouwen,,570924550
Vip-IRES-Cre,,Older Gouwen,,567007144
Vip-IRES-Cre,,Older Gouwen,,567006813
Vip-IRES-Cre,,Older Gouwen,,562535995
Vip-IRES-Cre,,Older Gouwen,,576046210
Vip-IRES-Cre,,Older Gouwen,,576411497
Vip-IRES-Cre,,Older Gouwen,,570589704
Vip-IRES-Cre,,Older Gouwen,,497499510
Vip-IRES-Cre,,Older Gouwen,,565880475
Vip-IRES-Cre,,Older Gouwen,,553006549
Vip-IRES-Cre,,Older Gouwen,,582632160
Vip-IRES-Cre,,Older Gouwen,,561940338
Vip-IRES-Cre,,Older Gouwen,,576046388
Vip-IRES-Cre,,Older Gouwen,,509620929
Vip-IRES-Cre,,Older Gouwen,,514907630
Vip-IRES-Cre,,Older Gouwen,,593054045
Vip-IRES-Cre,,Older Gouwen,,560424631
Vip-IRES-Cre,,Older Gouwen,,535728342
Vip-IRES-Cre,,Older Gouwen,,514767977
Vip-IRES-Cre,,Older Gouwen,,570626702
Vip-IRES-Cre,,Older Gouwen,,570921682
Vip-IRES-Cre,,Older Gouwen,,565191603
Vip-IRES-Cre,,Older Gouwen,,535708196
Vip-IRES-Cre,,Older Gouwen,,515315072
Vip-IRES-Cre,,Older Gouwen,,562524605
Vip-IRES-Cre,,Older Gouwen,,575937040
Vip-IRES-Cre,,Older Gouwen,,524675712
Vip-IRES-Cre,,Older Gouwen,,594589186
Vip-IRES-Cre,,Older Gouwen,,565191521
Vip-IRES-Cre,,Older Gouwen,,575923740
Vip-IRES-Cre,,Older Gouwen,,531121585
Vip-IRES-Cre,,Older Gouwen,,570589935
Vip-IRES-Cre,,Older Gouwen,,570081024
Vip-IRES-Cre,,Older Gouwen,,592868444
Vip-IRES-Cre,,Older Gouwen,,561934585
Vip-IRES-Cre,,Older Gouwen,,562539062
Tlx3-Cre_PL56,,Older Gouwen,,599177740
Tlx3-Cre_PL56,,Older Gouwen,,595511209
Tlx3-Cre_PL56,,Older Gouwen,,588711875
Tlx3-Cre_PL56,,Older Gouwen,,558615201
Tlx3-Cre_PL56,,Older Gouwen,,598628992
Tlx3-Cre_PL56,,Older Gouwen,,599170940
Tlx3-Cre_PL56,,Older Gouwen,,588699048
Tlx3-Cre_PL56,,Older Gouwen,,601294900
Tlx3-Cre_PL56,,Older Gouwen,,563338541
Tlx3-Cre_PL56,,Older Gouwen,,599393756
Tlx3-Cre_PL56,,Older Gouwen,,563353582
Tlx3-Cre_PL56,,Older Gouwen,,588728161
Tlx3-Cre_PL56,,Older Gouwen,,563336705
Tlx3-Cre_PL56,,Older Gouwen,,599222852
Tlx3-Cre_PL56,,Older Gouwen,,588402092
Tlx3-Cre_PL56,,Older Gouwen,,607124114
Tlx3-Cre_PL56,,Older Gouwen,,588712191
Tlx3-Cre_PL56,,Older Gouwen,,563350008
Tlx3-Cre_PL56,,Older Gouwen,,558675895
Tlx3-Cre_PL56,,Older Gouwen,,562999984
Tlx3-Cre_PL56,,Older Gouwen,,557992635
Tlx3-Cre_PL56,,Older Gouwen,,557996299
Tlx3-Cre_PL56,,Older Gouwen,,563175057
Tlx3-Cre_PL56,,Older Gouwen,,557864274
Tlx3-Cre_PL56,,Older Gouwen,,558612809
Tlx3-Cre_PL56,,Older Gouwen,,563180078
Tlx3-Cre_PL56,,Older Gouwen,,602822298
Tlx3-Cre_PL56,,Older Gouwen,,599334696
Tlx3-Cre_PL56,,Older Gouwen,,527826878
Tlx3-Cre_PL56,,Older Gouwen,,527864026
Tlx3-Cre_PL56,,Older Gouwen,,558660968
Tlx3-Cre_PL56,,Older Gouwen,,557992762
Tlx3-Cre_PL56,,Older Gouwen,,588705882
Tlx3-Cre_PL56,,Older Gouwen,,558662244
Tlx3-Cre_PL56,,Older Gouwen,,563002088
Tlx3-Cre_PL56,,Older Gouwen,,588697518
Tlx3-Cre_PL56,,Older Gouwen,,608108585
Tlx3-Cre_PL56,,Older Gouwen,,588695976
Tlx3-Cre_PL56,,Older Gouwen,,557998843
Tlx3-Cre_PL56,,Older Gouwen,,557874460
Tlx3-Cre_PL56,,Older Gouwen,,558675748
Sst-IRES-Cre,,Older Gouwen,,491029832
Sst-IRES-Cre,,Older Gouwen,,472517038
Sst-IRES-Cre,,Older Gouwen,,475580568
Sst-IRES-Cre,,Older Gouwen,,475068599
Sst-IRES-Cre,,Older Gouwen,,475049291
Sst-IRES-Cre,,Older Gouwen,,478716304
Sst-IRES-Cre,,Older Gouwen,,322197295
Sst-IRES-Cre,,Older Gouwen,,490912243
Sst-IRES-Cre,,Older Gouwen,,476104386
Sst-IRES-Cre,,Older Gouwen,,329224678
Sst-IRES-Cre,,Older Gouwen,,329322109
Sst-IRES-Cre,,Older Gouwen,,322536988
Sst-IRES-Cre,,Older Gouwen,,324266146
Sst-IRES-Cre,,Older Gouwen,,328031983
Sst-IRES-Cre,,Older Gouwen,,476093220
Sst-IRES-Cre,,Older Gouwen,,491026389
Sst-IRES-Cre,,Older Gouwen,,323501938
Sst-IRES-Cre,,Older Gouwen,,323452196
Sst-IRES-Cre,,Older Gouwen,,475047891
Sst-IRES-Cre,,Older Gouwen,,575646054
Sst-IRES-Cre,,Older Gouwen,,476754635
Sst-IRES-Cre,,Older Gouwen,,476099282
Sst-IRES-Cre,,Older Gouwen,,482690728
Sst-IRES-Cre,,Older Gouwen,,480171188
Sst-IRES-Cre,,Older Gouwen,,504608602
Sst-IRES-Cre,,Older Gouwen,,328015342
Sst-IRES-Cre,,Older Gouwen,,480183339
Sst-IRES-Cre,,Older Gouwen,,473543792
Sst-IRES-Cre,,Older Gouwen,,504605677
Sst-IRES-Cre,,Older Gouwen,,322246422
Sst-IRES-Cre,,Older Gouwen,,501282204
Sst-IRES-Cre,,Older Gouwen,,575637715
Sst-IRES-Cre,,Older Gouwen,,501730497
Sst-IRES-Cre,,Older Gouwen,,322197160
Sst-IRES-Cre,,Older Gouwen,,476764144
Sst-IRES-Cre,,Older Gouwen,,328954223
Sst-IRES-Cre,,Older Gouwen,,473011949
Sst-IRES-Cre,,Older Gouwen,,466664172
Sst-IRES-Cre,,Older Gouwen,,329241587
Sst-IRES-Cre,,Older Gouwen,,490278904
Sst-IRES-Cre,,Older Gouwen,,324466858
Sst-IRES-Cre,,Older Gouwen,,575642695
Sst-IRES-Cre,,Older Gouwen,,328535908
Sst-IRES-Cre,,Older Gouwen,,480187546
Sst-IRES-Cre,,Older Gouwen,,490276212
Sst-IRES-Cre,,Older Gouwen,,485061364
Sst-IRES-Cre,,Older Gouwen,,478396248
Sst-IRES-Cre,,Older Gouwen,,485455219
Sst-IRES-Cre,,Older Gouwen,,470581375
Sst-IRES-Cre,,Older Gouwen,,323452245
Sst-IRES-Cre,,Older Gouwen,,482735425
Sst-IRES-Cre,,Older Gouwen,,526785742
Sst-IRES-Cre,,Older Gouwen,,324522388
Sst-IRES-Cre,,Older Gouwen,,475465708
Sst-IRES-Cre,,Older Gouwen,,500966656
Sst-IRES-Cre,,Older Gouwen,,464198958
Sst-IRES-Cre,,Older Gouwen,,485287282
Sst-IRES-Cre,,Older Gouwen,,475517157
Sst-IRES-Cre,,Older Gouwen,,324256803
Sst-IRES-Cre,,Older Gouwen,,478412623
Sst-IRES-Cre,,Older Gouwen,,486352114
Sst-IRES-Cre,,Older Gouwen,,322500634
Sst-IRES-Cre,,Older Gouwen,,476686112
Sst-IRES-Cre,,Older Gouwen,,328093618
Sst-IRES-Cre,,Older Gouwen,,501280518
Sst-IRES-Cre,,Older Gouwen,,322229594
Sst-IRES-Cre,,Older Gouwen,,482692974
Sst-IRES-Cre,,Older Gouwen,,534303031
Sst-IRES-Cre,,Older Gouwen,,324257146
Sst-IRES-Cre,,Older Gouwen,,475202388
Sst-IRES-Cre,,Older Gouwen,,313862274
Sst-IRES-Cre,,Older Gouwen,,388874977
Sst-IRES-Cre,,Older Gouwen,,497560724
Sst-IRES-Cre,,Older Gouwen,,475542743
Sst-IRES-Cre,,Older Gouwen,,313862306
Sst-IRES-Cre,,Older Gouwen,,480171348
Sst-IRES-Cre,,Older Gouwen,,534141324
