T type,T type class,Dataset,T type sub-class,Specimen ID
Sst Chrna2 Ptgdr,MGE interneuron,New Patchseq,Sst interneuron,863585604
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,857223181
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,714936352
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,623415197
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,658012080
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,604646725
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,661492805
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,701075567
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,762590075
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,750833190
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,691685873
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,708221965
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,710920450
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,643754730
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,605160536
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,740649731
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,760268259
Sst Tac1 Tacr3,MGE interneuron,New Patchseq,Sst interneuron,647045788
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,692083084
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,730744363
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,744476851
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,668337999
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,694419620
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,826712572
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,946190769
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,764902707
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,731683221
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,722821387
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,742009621
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,718257664
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,844965212
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,958930508
Sst Chrna2 Glra3,MGE interneuron,New Patchseq,Sst interneuron,687907602
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,760961855
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,823719680
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,680108584
Sncg Vip Nptx2,CGE interneuron,New Patchseq,Sncg interneuron,855791035
Pvalb Calb1 Sst,MGE interneuron,New Patchseq,Pvalb interneuron,718656998
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,669074640
Vip Rspo4 Rxfp1 Chat,CGE interneuron,New Patchseq,Vip interneuron,657185355
Sst Tac2 Tacstd2,MGE interneuron,New Patchseq,Sst interneuron,718640845
Sst Rxfp1 Eya1,MGE interneuron,New Patchseq,Sst interneuron,718135969
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,803605276
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,694183636
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,670340941
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,653327513
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,699495755
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,808875776
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,750472605
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,699448311
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,605060256
Vip Crispld2 Htr2c,CGE interneuron,New Patchseq,Vip interneuron,743504177
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,821774757
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,842841654
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,739810705
Pvalb Akr1c18 Ntf3,MGE interneuron,New Patchseq,Pvalb interneuron,694220357
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,703283610
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,729135271
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,764872932
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,743012953
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,720678722
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,818792182
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,657675492
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,750824726
Vip Igfbp4 Mab21l1,CGE interneuron,New Patchseq,Vip interneuron,639004612
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,638212024
Sst Tac1 Tacr3,MGE interneuron,New Patchseq,Sst interneuron,705278421
Sst Mme Fam114a1,MGE interneuron,New Patchseq,Sst interneuron,707424705
Sncg Slc17a8,CGE interneuron,New Patchseq,Sncg interneuron,992830261
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,685636842
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,649387261
Pvalb Th Sst,MGE interneuron,New Patchseq,Pvalb interneuron,703565379
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,795530674
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,639708328
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,648582997
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,718647510
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,643727497
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,754508194
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,788296224
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,711903629
Vip Lect1 Oxtr,CGE interneuron,New Patchseq,Vip interneuron,644920227
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,862596299
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,680048186
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,697502029
Sst Calb2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,601810307
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,692015490
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,710338421
Sst Nts,MGE interneuron,New Patchseq,Sst interneuron,693009119
Pvalb Vipr2,MGE interneuron,New Patchseq,Pvalb interneuron,992268582
Sncg Vip Itih5,CGE interneuron,New Patchseq,Sncg interneuron,743001170
Vip Chat Htr1f,CGE interneuron,New Patchseq,Vip interneuron,764879591
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,717637005
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,760821319
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,722795299
Sst Chrna2 Ptgdr,MGE interneuron,New Patchseq,Sst interneuron,660050258
Sst Tac1 Tacr3,MGE interneuron,New Patchseq,Sst interneuron,823253200
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,606098116
Sst Crhr2 Efemp1,MGE interneuron,New Patchseq,Sst interneuron,718205473
Pvalb Gpr149 Islr,MGE interneuron,New Patchseq,Pvalb interneuron,763378303
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,766591236
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,639881631
Lamp5 Fam19a1 Pax6,CGE interneuron,New Patchseq,Lamp5 interneuron,764341238
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,808537562
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,715159651
Pvalb Sema3e Kank4,MGE interneuron,New Patchseq,Pvalb interneuron,698586385
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,993245688
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,731733715
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,739792780
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,809338969
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,797722932
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,659405868
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,764726542
Lamp5 Ntn1 Npy2r,CGE interneuron,New Patchseq,Lamp5 interneuron,764902677
Sncg Vip Nptx2,CGE interneuron,New Patchseq,Sncg interneuron,714755043
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,941846857
Pvalb Reln Itm2a,MGE interneuron,New Patchseq,Pvalb interneuron,698086962
Sst Nr2f2 Necab1,MGE interneuron,New Patchseq,Sst interneuron,821788449
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,659413418
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,639818525
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,780005520
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,669523148
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,692777680
Sst Tac1 Tacr3,MGE interneuron,New Patchseq,Sst interneuron,795563325
Pvalb Gabrg1,MGE interneuron,New Patchseq,Pvalb interneuron,694437359
Vip Lect1 Oxtr,CGE interneuron,New Patchseq,Vip interneuron,696115308
Sncg Gpr50,CGE interneuron,New Patchseq,Sncg interneuron,913928092
Vip Lmo1 Myl1,CGE interneuron,New Patchseq,Vip interneuron,744053590
Vip Col15a1 Pde1a,CGE interneuron,New Patchseq,Vip interneuron,760316107
Sst Calb2 Pdlim5,MGE interneuron,New Patchseq,Sst interneuron,657999088
Sst Chodl,MGE interneuron,New Patchseq,Sst Chodl interneuron,740875222
Vip Lmo1 Fam159b,CGE interneuron,New Patchseq,Vip interneuron,744211669
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,709219898
Sst Esm1,MGE interneuron,New Patchseq,Sst interneuron,863604233
Lamp5 Lsp1,CGE interneuron,New Patchseq,Lamp5 interneuron,652300499
Sncg Slc17a8,CGE interneuron,New Patchseq,Sncg interneuron,941824942
Lamp5 Plch2 Dock5,CGE interneuron,New Patchseq,Lamp5 interneuron,746086313
Sst Myh8 Etv1,MGE interneuron,New Patchseq,Sst interneuron,705570328
Sst Rxfp1 Prdm8,MGE interneuron,New Patchseq,Sst interneuron,751991773
Pvalb Tpbg,MGE interneuron,New Patchseq,Pvalb interneuron,682454193
Sst Crh 4930553C11Rik,MGE interneuron,New Patchseq,Sst interneuron,718643723
Sst Hpse Cbln4,MGE interneuron,New Patchseq,Sst interneuron,740780456
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,759751429
Vip Pygm C1ql1,CGE interneuron,New Patchseq,Vip interneuron,761304075
Sst Tac2 Myh4,MGE interneuron,New Patchseq,Sst interneuron,639809582
Vip Crispld2 Kcne4,CGE interneuron,New Patchseq,Vip interneuron,736884821
Sst Hpse Sema3c,MGE interneuron,New Patchseq,Sst interneuron,656901554
Sst Tac1 Htr1d,MGE interneuron,New Patchseq,Sst interneuron,623434306
