T type sub-class,T type,T type class,Specimen ID,Axon Bias X (millimeters),Axon Bias Y (millimeters),Axon Contraction,Axon Emd With Basal Dendrite,Axon Extent X (millimeters),Axon Extent Y (millimeters),Axon Hist Pc 0,Axon Hist Pc 1,Axon Hist Pc 2,Axon Hist Pc 3,Axon Hist Pc 4,Axon Max Branch Order,Axon Max Euclidean Distance (millimeters),Axon Max Path Distance (millimeters),Axon Num Branches,Axon Pct Above Basal Dendrite,Axon Pct Below Basal Dendrite,Axon Pct Intersect Basal Dendrite,Axon Soma Distance (millimeters),Axon Soma Percentile X,Axon Soma Percentile Y,Axon Soma Theta,Axon Total Length (millimeters),Basal Dendrite Bias X (millimeters),Basal Dendrite Bias Y (millimeters),Basal Dendrite Contraction,Basal Dendrite Extent X (millimeters),Basal Dendrite Extent Y (millimeters),Basal Dendrite Max Branch Order,Basal Dendrite Max Euclidean Distance (millimeters),Basal Dendrite Max Path Distance (millimeters),Basal Dendrite Num Branches,Basal Dendrite Num Stems,Basal Dendrite Pct Above Axon,Basal Dendrite Pct Below Axon,Basal Dendrite Pct Intersect Axon,Basal Dendrite Soma Percentile X,Basal Dendrite Soma Percentile Y,Basal Dendrite Stem Exit Down,Basal Dendrite Stem Exit Side Less,Basal Dendrite Stem Exit Side More,Basal Dendrite Stem Exit Up,Basal Dendrite Total Length (millimeters),Normalized Soma Depth
Sst interneuron,Sst Myh8 Etv1,MGE interneuron,750472605,0.106135631,0.502253123,0.852129596,52.89349363,0.451536833,0.577427887,-23.27727763,13.06940036,-183.4666375,-337.8556561,316.2289387,21,0.614646449,0.992396317,301,0.753318803,0,0.246681197,0.011269355,0.435704379,0.041807014,0.275077385,14.29359025,0.00957161,0.036407334,0.851388548,0.247181569,0.206710114,5,0.158895801,0.20514463,41,5,0,0.216138329,0.783861671,0.416426513,0.65129683,0.2,0.2,0.2,0.4,1.874333015,0.735525166
Pvalb interneuron,Pvalb Tpbg,MGE interneuron,699448311,0.105555989,0.03719391,0.894675687,12.97631089,0.391128568,0.441310948,353.2935497,-611.1892478,-391.669098,377.7407069,-103.6265507,18,0.341398316,0.57245911,399,0.00433293,0.066505441,0.929161628,0,0.422712616,0.235489722,0.438851344,16.1118721,0.02980247,0.004449247,0.864924117,0.23444475,0.367217795,5,0.273231193,0.295491961,38,8,0,0,1,0.411796832,0.442927362,0.5,0,0.125,0.375,2.93272081,0.421567923
Vip interneuron,Vip Lmo1 Myl1,CGE interneuron,605060256,0.104500232,0.278151811,0.826336587,22.03531112,0.250282816,0.278151811,-424.4383435,48.73985203,-235.2006768,-457.7456446,-239.7286854,14,0.297159522,0.400785202,101,0,0,1,0,0.147442327,1,0.617847113,4.173308164,0.054366591,0.044183116,0.885829601,0.254313829,0.695565613,10,0.424896553,0.536847124,71,3,0.255965909,0.025568182,0.718465909,0.398295455,0.746875,0.666666667,0,0,0.333333333,4.78101593,0.432962837
Vip interneuron,Vip Crispld2 Htr2c,CGE interneuron,743504177,0.104083841,0.231315325,0.845593352,14.08340008,0.339907322,0.480153134,149.6373331,483.9234552,117.9505525,-248.4443565,-378.7332696,15,0.369942084,0.6196007,181,0,0.09773434,0.90226566,0.018371573,0.24300311,0.289426921,0.277164738,6.676100247,0.013018635,0.037705459,0.887946106,0.115829816,0.295180884,6,0.17466769,0.209431233,30,2,0.006944444,0,0.993055556,0.372685185,0.759259259,0.5,0,0,0.5,1.185451248,0.176847178
Sst interneuron,Sst Nr2f2 Necab1,MGE interneuron,821774757,0.102271835,0.373948771,0.844182927,44.46939151,0.549250945,0.637103176,-226.8852174,174.3886617,-61.93074276,-319.550834,-252.9268036,22,0.570911002,1.087469836,113,0.48371532,0,0.51628468,0,0.276718938,0.135585042,0.951674524,5.764884855,0.055541787,0.027026346,0.829157387,0.235187442,0.312880822,6,0.198253688,0.255777209,45,5,0,0.06409002,0.93590998,0.350293542,0.389921722,0.4,0,0.2,0.4,2.971276343,0.693205514
Sst interneuron,Sst Calb2 Necab1,MGE interneuron,842841654,0.101529032,0.096734354,0.870473613,9.444916243,0.49157249,0.261223259,668.6868193,2380.821549,86.53708136,502.1584297,216.9029496,33,0.299147705,0.894975726,477,0.26614499,0.000809498,0.733045512,0,0.358247886,0.191851052,0.417209581,16.10257389,0.020059835,0.131476281,0.825678066,0.208980443,0.207280008,6,0.18705922,0.221659559,55,7,0,0,1,0.409188493,0.843709747,0.428571429,0.142857143,0.142857143,0.285714286,3.055418582,0.113107913
Lamp5 interneuron,Lamp5 Plch2 Dock5,CGE interneuron,739810705,0.100910729,0.138397575,0.811428058,13.79569417,0.520089712,0.368721617,-2197.870067,-443.5370608,2148.73092,1552.967378,780.6228512,21,0.418524242,0.772963327,657,0.001737656,0.3184573,0.679805043,0,0.346344565,0.8724306,0.595228105,37.67272974,0.011038991,0.015167121,0.849425205,0.1832755,0.173423731,7,0.117788894,0.149927202,98,8,0,0,1,0.496138119,0.467060427,0.125,0.25,0.375,0.25,3.025949582,0.733743256
Pvalb interneuron,Pvalb Akr1c18 Ntf3,MGE interneuron,694220357,0.099513478,0.313827152,0.884450418,16.17341409,0.62728645,0.493998592,-930.8354974,-134.7756097,276.6952533,-37.27987256,336.6349368,19,0.459271345,0.680590976,361,0.036620004,0.000304321,0.963075675,0,0.393690404,0.148001623,0.260939958,14.50252766,0.035435878,0.181360463,0.909374201,0.288575172,0.359414325,4,0.285239616,0.354450357,36,6,0,0,1,0.457161543,0.487246566,0.166666667,0.166666667,0.5,0.166666667,2.219602616,0.834240657
Sst interneuron,Sst Crh 4930553C11Rik,MGE interneuron,703283610,0.099299323,0.093324937,0.882116974,6.547555609,0.575850042,0.36049423,-927.6905842,-82.93012707,581.688737,286.0846082,-120.5573312,19,0.340844464,0.488835462,257,0.031207782,0,0.968792218,0,0.490543096,0.258984058,0.28209429,10.21132964,0.028230067,0.00976543,0.87196437,0.356990599,0.283663296,5,0.238961502,0.283364019,43,7,0,0.005684303,0.994315697,0.445561871,0.486226498,0.142857143,0.285714286,0.285714286,0.285714286,3.195979613,0.824684812
Sst interneuron,Sst Esm1,MGE interneuron,729135271,0.097310709,0.368849488,0.8288925,59.81464497,0.454211724,0.666191467,88.58409701,525.6951095,-434.6994283,-139.6662549,571.4437912,29,0.588833373,1.219695471,439,0.513729478,0,0.486270522,0,0.487360163,0.070754032,0.212939272,21.87444877,0.036918497,0.091412073,0.856815224,0.338987124,0.469238366,5,0.318228154,0.390689788,53,5,0,0.111799218,0.888200782,0.489569752,0.580508475,0.2,0,0.4,0.4,4.5981629,0.684854486
Pvalb interneuron,Pvalb Tpbg,MGE interneuron,764872932,0.09692815,0.278759348,0.890106029,11.01822187,0.465895858,0.56636748,1443.306923,-168.1521071,924.944853,-633.2503386,264.0282193,17,0.435870261,0.698640928,503,0,0.119224943,0.880775057,0.010902138,0.395670285,0.321825297,0.090165717,23.34578025,0.001956356,0.011198617,0.878572603,0.268088698,0.339581181,6,0.222568553,0.254007686,67,5,0.056979198,0,0.943020802,0.493518239,0.141694302,0.2,0,0.2,0.6,4.618332837,0.248490365
Sst interneuron,Sst Rxfp1 Prdm8,MGE interneuron,743012953,0.096846716,0.386261465,0.876583763,13.91203002,0.721764249,0.778493027,-818.8126286,-117.4672569,-87.58285041,-571.2303782,700.3276312,17,0.589539617,0.826135733,301,0.049086204,0.028950348,0.921963448,0,0.495956655,0.219715349,0.391886915,18.61181166,0.041683209,0.063389144,0.872295162,0.317017247,0.402529581,6,0.289607147,0.375261633,67,7,0,0,1,0.454724409,0.406074241,0.142857143,0.142857143,0.285714286,0.428571429,5.076349674,0.78578314
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,720678722,0.095856783,0.354522806,0.886264487,26.80701974,0.616759407,0.565358087,-949.9457899,-202.1696493,322.835049,279.8270522,278.4727103,15,0.485162069,0.687612232,247,0.363908468,0,0.636091532,0,0.411316018,0.108911847,0.317904771,14.76928027,0.005268105,0.026926453,0.855619013,0.327466314,0.239078016,4,0.208952167,0.296481633,33,5,0,0.017099863,0.982900137,0.476060192,0.60875513,0.4,0.2,0.4,0,2.109430003,0.837512745
Pvalb interneuron,Pvalb Reln Itm2a,MGE interneuron,818792182,0.095820027,0.344919162,0.870859816,8.961241061,0.473417264,0.584179352,-860.4840305,-182.4362017,399.8320904,345.425727,40.21802878,18,0.467817585,0.721006365,335,0.152751017,0.002462,0.844786984,0,0.385891672,0.289873689,0.120678762,14.38325235,0.144770163,0.100283878,0.81781745,0.377695381,0.310149123,5,0.273258706,0.368861447,38,6,0,0,1,0.390218522,0.249219563,0.333333333,0,0.166666667,0.5,2.966973351,0.814367592
Sst interneuron,Sst Calb2 Pdlim5,MGE interneuron,657675492,0.095643105,0.166297059,0.847039141,8.269146112,0.518329813,0.166297059,623.2197085,2370.584855,32.70917568,534.3465368,212.8993447,20,0.324656139,0.788514021,539,0.134550372,0,0.865449628,0.010229797,0.24754902,0,0.280660759,16.92754452,0.062981192,0.10186734,0.846539939,0.305057641,0.169349593,12,0.208267491,0.33279293,87,3,0,0.110431792,0.889568208,0.416889568,0.09209018,0,0,0.666666667,0.333333333,3.771266252,0.198501765
Sst interneuron,Sst Nts,MGE interneuron,750824726,0.095533923,0.0518235,0.862072268,15.16930026,0.335283565,0.530687822,-529.4600687,17.06274218,30.80237638,-191.1520925,-294.0296888,15,0.405592954,0.820916112,97,0.023507578,0.073615837,0.902876585,0.02434036,0.151252706,0.28549335,0.261739201,4.869901442,0.044825712,0.074078884,0.889655544,0.329246938,0.39976843,7,0.326484573,0.419779445,46,4,0,0,1,0.429967427,0.550850525,0.25,0,0.5,0.25,3.88099852,0.775894451
Vip interneuron,Vip Igfbp4 Mab21l1,CGE interneuron,639004612,0.095203622,0.319192805,0.860679104,29.78575848,0.294283301,0.416745282,-232.7787244,-54.51800772,-392.6389287,-77.03058671,-460.3655391,13,0.413779191,0.660515713,81,0,0.177715531,0.822284469,0.01622856,0.464985994,0.924680984,0.649280687,5.209460361,4.10E-05,0.085321727,0.786296236,0.158167966,0.469961765,9,0.34901848,0.513212803,44,2,0.4345898,0,0.5654102,0.256097561,0.495011086,0.5,0,0,0.5,2.918040557,0.331053157
Lamp5 interneuron,Lamp5 Ntn1 Npy2r,CGE interneuron,638212024,0.095046341,0.097845366,0.915980016,4.204974006,0.394761431,0.295261554,-116.3428516,300.73858,3.231378094,-226.7314643,-545.0951166,10,0.253421561,0.386035648,45,0,0.075686884,0.924313116,0,0.249351996,0.479523069,0.574014006,2.306384373,0.016022167,0.01037439,0.882579462,0.349348452,0.213790143,7,0.203788611,0.263532365,54,4,0.026635514,0,0.973364486,0.494859813,0.268224299,0.5,0,0,0.5,2.600166441,0.131675302
Sst interneuron,Sst Tac1 Tacr3,MGE interneuron,705278421,0.093923233,0.105592957,0.843721646,9.05769976,0.307387517,0.497603126,430.8844875,337.0982624,389.5133829,-464.5978446,-298.5065958,21,0.316889594,0.511231945,235,0.140257295,0.072011296,0.787731409,0.014159689,0.35174145,0.096799498,0.149900942,8.889899881,0.004095047,0.091807501,0.866196724,0.207476209,0.215903205,10,0.163572016,0.212021024,40,4,0,0,1,0.453053185,0.068286277,0.25,0,0.5,0.25,1.920955381,0.257356693
Sst interneuron,Sst Mme Fam114a1,MGE interneuron,707424705,0.093866393,0.110779691,0.855891382,5.82832024,0.461424869,0.321197429,-496.577446,17.84107284,-83.31870621,-324.6665368,-201.5295601,12,0.286068971,0.45994825,87,0.007533574,0,0.992466426,0,0.483458893,0.312807075,0.330086983,4.80926664,0.003105582,0.01086908,0.856664844,0.347465537,0.352698245,8,0.244183681,0.299087486,57,7,0,0.09527097,0.90472903,0.488436313,0.569209527,0.285714286,0.142857143,0.285714286,0.285714286,4.258961146,0.686370355
Sncg interneuron,Sncg Slc17a8,CGE interneuron,992830261,0.093658339,0.002760726,0.812457178,20.8094137,0.640369955,0.522325975,-962.7430907,-99.48473422,573.6846835,294.437433,-83.92941133,16,0.382195902,0.822034634,193,0.00609692,0.324398192,0.669504888,0,0.420582361,0.842005676,0.75899298,14.46383801,0.094784809,0.112243848,0.881018656,0.360756586,0.339886716,5,0.266485466,0.30672035,52,6,0,0,1,0.381341359,0.383061049,0,0.166666667,0.333333333,0.5,3.482194884,0.703733186
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,685636842,0.093602434,0.384422306,0.905015519,30.39652319,0.50257268,0.562770967,-750.5420017,-137.1468271,37.05478072,-85.92107947,244.7375771,18,0.502437458,0.563165006,239,0.48104853,0,0.51895147,0.015497954,0.488605502,0.093045224,0.326919397,10.0646568,0.032732345,0.031091831,0.908348434,0.334427109,0.237303955,5,0.192337,0.240144774,49,5,0,0.047553093,0.952446907,0.404893813,0.630655586,0.2,0.2,0.2,0.4,2.578616872,0.814178757
Sst interneuron,Sst Nr2f2 Necab1,MGE interneuron,649387261,0.093171837,0.282197759,0.828645419,40.82130747,0.50049634,0.771095081,-54.97855016,77.75813914,-78.31687582,-736.5819404,335.4121834,22,0.535677565,1.005693162,327,0.590394338,0.023458038,0.386147624,0.020252213,0.443983822,0.11536906,0.461923941,15.76626022,0.014609502,0.083159252,0.881093675,0.236615213,0.257535002,6,0.270742289,0.300196493,45,5,0,0,1,0.413772808,0.65097116,0.4,0,0.4,0.2,3.144171518,0.656996717
Pvalb interneuron,Pvalb Th Sst,MGE interneuron,703565379,0.092929104,0.131825566,0.868761373,4.845557502,0.440920845,0.431053035,-882.4046679,-65.40765544,514.4300315,219.144074,-199.103395,14,0.350251029,0.714619248,219,0.021636877,0.010112888,0.968250235,0,0.234242709,0.488476011,0.11174101,13.5538531,0.001393839,0.022655125,0.886127697,0.240606575,0.284763174,5,0.31319506,0.346923375,39,5,0,0,1,0.442724458,0.637254902,0.2,0,0.2,0.6,3.089556991,0.817997025
Sst interneuron,Sst Esm1,MGE interneuron,795530674,0.092323885,0.277906674,0.831035015,31.32355358,0.816628178,0.842490818,-700.719018,-39.13924367,334.674924,7.959781807,490.2765896,20,0.592780104,0.969730107,335,0.251429828,0.006672533,0.741897639,0.025631367,0.380481009,0.410910691,0.429981663,20.45615395,0.052527829,0.077533137,0.861647435,0.485796052,0.35176608,6,0.435661049,0.564328581,45,5,0,0,1,0.491514143,0.897171381,0,0.4,0.6,0,4.239333457,0.72778702
Sst interneuron,Sst Esm1,MGE interneuron,639708328,0.092143162,0.052862992,0.805322726,14.42562202,0.446912118,0.340650918,-490.1010708,19.00896348,-190.1202152,-468.7845467,-84.32168208,24,0.308575729,1.146649463,87,0,0,1,0,0.085409253,0.237925775,0.64046461,5.52308328,0.057417635,0.029364894,0.897756936,0.621332288,0.539685075,9,0.453691601,0.519988228,39,3,0.020800628,0.143642072,0.8355573,0.407770801,0.638932496,0,0.333333333,0.666666667,0,3.546355494,0.678135945
Lamp5 interneuron,Lamp5 Ntn1 Npy2r,CGE interneuron,648582997,0.09208844,0.037286706,0.82382133,8.565580901,0.384287953,0.142219602,123.1226432,1550.813328,-197.3431345,426.4064682,-152.5416942,17,0.294387499,0.620894341,255,0.002293227,0,0.997706773,0.010398893,0.387861183,0.057942211,0.062246936,11.28464549,0.023552976,0.112479937,0.879492216,0.20199313,0.267348757,7,0.190928684,0.220652614,63,5,0,0.240217391,0.759782609,0.485326087,0.507608696,0.2,0.2,0.4,0.2,2.922350003,0.097829847
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,718647510,0.091957585,0.181783252,0.840217709,5.287412035,0.55119567,0.402385768,-905.4853546,-86.60696946,479.5707515,147.472049,-31.36553576,13,0.355429751,0.567138902,273,0.09805549,0,0.90194451,0,0.210101968,0.190064027,0.258319527,12.39826351,0.087240085,0.016166141,0.841322439,0.209188619,0.345491421,4,0.223452711,0.288243227,22,6,0,0.076706545,0.923293455,0.492610837,0.263898663,0.333333333,0.166666667,0.166666667,0.333333333,1.937778117,0.867991796
Sst Chodl interneuron,Sst Chodl,MGE interneuron,643727497,0.091898466,0.026810876,0.84964318,12.71729698,0.452589453,0.182209543,-413.492078,83.49380316,23.74013509,-142.8468202,-697.1790394,9,0.274560077,0.54212412,63,0,0.103404255,0.896595745,0,0.445106383,0.695744681,0.614265845,3.349072783,0.085437565,0.121488666,0.882519473,0.334612018,0.256509818,5,0.264948543,0.319233649,31,5,0.456458636,0,0.543541364,0.5,0.249637155,0.2,0.2,0.2,0.4,1.924460697,0.910764584
Pvalb interneuron,Pvalb Sema3e Kank4,MGE interneuron,754508194,0.091458835,0.031798846,0.861036371,19.26058092,0.629790347,0.288555635,-1059.457438,-91.93207875,857.4913626,543.7933638,-311.204625,27,0.365699149,0.949973026,309,0,0.301251956,0.698748044,0.02570587,0.415884194,0.6271518,0.455708148,15.26330814,0.004951697,0.197939381,0.778851919,0.259224966,0.298434206,7,0.257417826,0.377850278,49,5,0.233096927,0,0.766903073,0.250118203,0.168794326,0.2,0.2,0.2,0.4,2.85773892,0.819272855
Sst interneuron,Sst Calb2 Pdlim5,MGE interneuron,788296224,0.091127715,0.31009938,0.843999437,21.08454849,0.612658468,0.337925977,1399.981504,855.4174878,591.7603866,107.1566695,203.1698192,20,0.462615138,0.741930518,451,0.324929596,0,0.675070404,0,0.24721738,0.003151401,0.113251626,21.81663732,0.051817307,0.064953275,0.837808977,0.160003122,0.407009221,7,0.251989023,0.299636056,58,4,0,0.110983982,0.889016018,0.469107551,0.115179252,0.25,0,0.25,0.5,3.368984843,0.405691171
Sst interneuron,Sst Nr2f2 Necab1,MGE interneuron,711903629,0.090935758,0.378208029,0.856634145,40.05509819,0.761776454,0.68709542,-226.1532515,349.7070418,-380.1108699,-1249.555347,2625.128628,32,0.589802024,1.153627351,825,0.689988375,0,0.310011625,0.033913683,0.462656205,0.088564371,0.514845857,39.79070017,0.003458068,0.116420859,0.877600789,0.22383606,0.215315697,8,0.213788263,0.285138141,58,4,0,0.007230256,0.992769744,0.444382647,0.605116796,0.25,0.25,0.25,0.25,2.885392918,0.690275285
Vip interneuron,Vip Lect1 Oxtr,CGE interneuron,644920227,0.090934446,0.155806602,0.813048607,15.04596066,0.281151978,0.394967198,220.3742022,33.2035474,205.9582091,-315.0588053,-464.2038265,17,0.30543073,0.624519092,131,0.000486973,0.238373509,0.761139518,0,0.484051619,0.611151692,0.632049027,6.394427434,0.07178894,0.047647612,0.781392004,0.184283638,0.189456848,8,0.172944647,0.284115563,87,3,0,0,1,0.25146771,0.142857143,0.333333333,0,0.333333333,0.333333333,3.417179091,0.167388093
Sncg interneuron,Sncg Vip Itih5,CGE interneuron,862596299,0.090823743,0.215733206,0.835223537,11.94830017,0.586489681,0.515945941,-648.7949808,-78.83157134,-4.379337499,-46.75372211,-57.36818784,14,0.387146824,0.680056821,135,0.093993244,0,0.906006756,0,0.414010868,0.391246879,0.660259644,9.535954764,0.000268867,0.036260432,0.794406267,0.303228422,0.388389184,5,0.235835587,0.342281107,44,4,0,0.012429379,0.987570621,0.458380414,0.557815443,0,0.25,0.5,0.25,3.381352582,0.736634624
Pvalb interneuron,Pvalb Gabrg1,MGE interneuron,680048186,0.090345338,0.118107836,0.849439143,15.87859578,0.666356246,0.312703341,-705.2081132,-31.42482549,233.8260933,-29.21900955,-147.6619541,12,0.384517054,0.641627359,113,0.211060481,0,0.788939519,0,0.402029826,0.085749793,0.364132264,6.528124361,0.073349942,0.025875856,0.861427466,0.235882181,0.247893691,3,0.25725938,0.301150233,16,4,0,0.101910828,0.898089172,0.334394904,0.625265393,0.5,0,0.25,0.25,1.230066035,0.814507705
Sst interneuron,Sst Rxfp1 Prdm8,MGE interneuron,697502029,0.089984762,0.347169967,0.850901441,5.894319545,0.676861732,0.778269694,-1072.429324,-225.6444804,-153.8766171,-626.7491827,1267.147968,28,0.579248225,1.092159748,469,0.057853791,0.053346505,0.888799704,0,0.467399358,0.178994814,0.324243627,24.47791753,0.04127148,0.172976017,0.864308225,0.280643717,0.378844754,8,0.289723849,0.416326477,69,9,0,0,1,0.409116022,0.255801105,0.222222222,0.111111111,0.333333333,0.333333333,4.910002846,0.762230425
Sst interneuron,Sst Calb2 Necab1,MGE interneuron,601810307,0.089759903,0.234826507,0.84296297,12.24210567,0.375706811,0.346144877,1355.104251,-120.6106463,1018.256777,-635.9787464,-63.20117228,36,0.351588152,0.912201326,515,0.132598618,0,0.867401382,0.028647765,0.45158751,0.023703315,0.056180176,19.30059269,0.015288828,0.114775523,0.900498048,0.234766728,0.296038798,9,0.217818811,0.269330077,48,6,0,0.019543974,0.980456026,0.454164728,0.201023732,0.333333333,0,0.166666667,0.5,3.226120636,0.297407928
Sst interneuron,Sst Rxfp1 Prdm8,MGE interneuron,692015490,0.089051625,0.465503448,0.879041975,25.65571833,0.690794065,0.654665475,-654.8056435,-12.91597771,92.05296099,-177.4462027,-234.5562887,21,0.576598696,0.73787053,225,0.338238086,0.018891209,0.642870704,0.015839505,0.375735713,0.244351623,0.194047628,15.67160592,0.060528974,0.071315112,0.873413965,0.319816249,0.192627914,5,0.304225511,0.352155329,39,5,0,0,1,0.394832041,0.330749354,0.2,0.2,0.4,0.2,3.287567295,0.976661957
Sst interneuron,Sst Esm1,MGE interneuron,710338421,0.088174356,0.017366227,0.833710759,12.20624597,0.397496122,0.406376104,-804.6191818,-66.30184718,333.9070177,21.26742434,-30.3759915,20,0.389116527,0.890352533,207,0.117225951,0.004175988,0.878598061,0.02427321,0.249217002,0.383892617,0.318341627,11.53087574,0.048060582,0.049083579,0.848844273,0.535070689,0.306222511,5,0.469317717,0.555975691,41,5,0,0,1,0.370602033,0.774824081,0.2,0.2,0.2,0.4,3.787316337,0.78230096
Sst interneuron,Sst Nts,MGE interneuron,693009119,0.087960527,0.585785978,0.880748021,26.09575529,0.916283946,0.797768002,-699.4487326,2.18034053,510.7531348,193.872019,-361.3802301,20,0.7963065,1.124136812,201,0.427345187,0,0.572654813,0.015748811,0.393521357,0.363478439,0.322227908,15.64745897,0.006500403,0.073813452,0.872057871,0.471408407,0.206164462,7,0.289314059,0.347107864,37,5,0,0.047857794,0.952142206,0.485870556,0.867365542,0.2,0.2,0.4,0.2,3.286737315,0.911018159
Pvalb interneuron,Pvalb Vipr2,MGE interneuron,992268582,0.087826999,0.103776915,0.766132776,16.62682406,0.26649328,0.177786063,944.5154303,-520.7399518,623.587473,-374.0489606,-300.9078576,22,0.306835815,0.671685234,281,0,0.614821251,0.385178749,0.012242378,0.416459782,0.91050149,0.799337394,11.29807012,0.018465299,0.104971405,0.81808218,0.184830952,0.164007539,7,0.195435755,0.288195278,35,7,0.371081254,0,0.628918746,0.485604607,0.166346769,0.428571429,0,0.142857143,0.428571429,2.399917668,0.17915412
Sncg interneuron,Sncg Vip Itih5,CGE interneuron,743001170,0.08768882,0.218139292,0.852770328,29.75741326,0.528085758,0.478614931,-527.9442889,15.28617267,53.13322713,-87.97170318,-393.4189431,10,0.437862508,0.788144807,51,0.007042254,0.318822023,0.674135723,0,0.181498079,0.874199744,0.553672234,4.627337641,0.008236935,0.106377975,0.842921218,0.283863887,0.34877729,7,0.252388316,0.344649631,67,5,0,0,1,0.402431012,0.341655716,0,0.4,0.4,0.2,4.761991874,0.562454616
Vip interneuron,Vip Chat Htr1f,CGE interneuron,764879591,0.08688897,0.237196139,0.827164874,15.29489729,0.230547135,0.269982271,302.1396192,-444.6653211,-244.4929783,298.9270049,-460.2705792,24,0.257593433,0.744105261,279,0,0.065844281,0.934155719,0.017603364,0.134412047,0.995354053,0.203257278,8.098583871,0.090228345,0.062471048,0.807144384,0.135839697,0.294780552,6,0.179634848,0.24851668,48,4,0.221059113,0,0.778940887,0.22044335,0.745689655,0.75,0,0,0.25,2.152333572,0.198248984
Lamp5 interneuron,Lamp5 Plch2 Dock5,CGE interneuron,717637005,0.086385256,0.011413933,0.775916955,9.796182803,0.372451783,0.159565924,161.5838517,1752.744936,-262.2058984,584.7270217,-79.56365179,29,0.270338138,0.837995098,281,0.273524408,0,0.726475592,0,0.248920298,0.026174584,0.427343418,13.48247532,0.023491244,0.062473187,0.863351346,0.097365894,0.166425366,6,0.127007752,0.17258934,47,5,0,0.072340426,0.927659574,0.265957447,0.64893617,0.6,0,0,0.4,1.558794712,0.089588311
Sst interneuron,Sst Rxfp1 Prdm8,MGE interneuron,760821319,0.086069882,0.364261768,0.848404933,13.22745106,0.36271635,0.708301798,-574.2506454,-8.548097204,138.0834592,-75.30892664,-295.1124715,11,0.536794779,0.620138086,125,0.071732955,0,0.928267045,0,0.364346591,0.325520833,0.404805279,6.49124589,0.040897149,0.024223666,0.853275435,0.398797032,0.446188726,6,0.336081594,0.407335707,58,8,0,0.046353705,0.953646295,0.410983171,0.598464718,0.25,0.25,0.25,0.25,5.115308062,0.785102604
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,722795299,0.08580674,0.415441053,0.870323007,24.96526538,0.551405077,0.671688878,-821.8134335,-249.5858297,255.7471894,341.2002578,208.8687701,15,0.553352656,0.731650164,291,0.346288774,0.007293205,0.646418021,0,0.435192024,0.209841211,0.437560816,16.27279163,0.061267936,0.013898498,0.870624267,0.333971539,0.221804631,4,0.241181825,0.279967326,31,7,0,0,1,0.359894459,0.458047493,0.285714286,0.142857143,0.285714286,0.285714286,2.613915749,0.811090006
Sst interneuron,Sst Chrna2 Ptgdr,MGE interneuron,660050258,0.084688253,0.454177054,0.867088678,26.77306179,0.170420443,0.456640002,-288.902047,70.33907803,-275.1418738,-403.5946658,-386.5495759,14,0.456042175,0.524399702,99,0.773782772,0,0.226217228,0.031102022,0.138576779,0.001498127,0.360508856,3.666344387,0.035533238,0.047151835,0.84957398,0.265375311,0.129241702,9,0.213244032,0.300984157,48,4,0,0.518619934,0.481380066,0.306133625,0.531215772,0.25,0.25,0.25,0.25,2.595184821,0.618894444
Sst interneuron,Sst Tac1 Tacr3,MGE interneuron,823253200,0.084377596,0.061859381,0.880857566,3.039526243,0.642941535,0.273359672,920.6956857,731.7814156,728.6938267,-512.0826768,-64.05796307,19,0.373291591,0.633410005,313,0,0.003269269,0.996730731,0,0.481375074,0.22577769,0.087877874,14.83803631,0.004210135,0.015325672,0.84114783,0.30299046,0.245935203,5,0.186122918,0.235802942,45,7,0.012465914,0,0.987534086,0.432021815,0.369302688,0.428571429,0,0.142857143,0.428571429,3.300178698,0.179138899
Pvalb interneuron,Pvalb Tpbg,MGE interneuron,606098116,0.084350137,0.169501253,0.78347923,6.747894483,0.484569088,0.53569141,1681.147436,-519.6345497,945.2370962,-573.7186506,131.8768765,27,0.354014524,1.018576458,533,0,0.120688544,0.879311456,0.025998619,0.413126169,0.277287087,0.460397783,26.4544726,0.062845992,0.123017057,0.80117267,0.209423536,0.291201678,6,0.303252666,0.389082579,27,5,0.017871649,0,0.982128351,0.335499594,0.167343623,0.2,0,0.4,0.4,2.062251985,0.262547239
Sst interneuron,Sst Crhr2 Efemp1,MGE interneuron,718205473,0.083640881,0.07336592,0.846270553,12.82033055,0.470352117,0.237916481,-647.9765466,11.52347476,309.8459583,91.33327756,-480.1991339,12,0.313264278,0.565241942,111,0.211039734,0,0.788960266,0,0.393766357,0.306447775,0.070675565,6.521319616,0.208318441,0.160299644,0.908159515,0.233859994,0.276769208,4,0.370120795,0.437223235,20,6,0,0.301152738,0.698847262,0.046829971,0.813400576,0.5,0.166666667,0.166666667,0.166666667,2.559012826,0.865422124
