T type sub-class,T type,T type class,Specimen ID,Axon Bias X (millimeters),Axon Bias Y (millimeters),Axon Contraction,Axon Emd With Basal Dendrite,Axon Extent X (millimeters),Axon Extent Y (millimeters),Axon Hist Pc 0,Axon Hist Pc 1,Axon Hist Pc 2,Axon Hist Pc 3,Axon Hist Pc 4,Axon Max Branch Order,Axon Max Euclidean Distance (millimeters),Axon Max Path Distance (millimeters),Axon Num Branches,Axon Pct Above Basal Dendrite,Axon Pct Below Basal Dendrite,Axon Pct Intersect Basal Dendrite,Axon Soma Distance (millimeters),Axon Soma Percentile X,Axon Soma Percentile Y,Axon Soma Theta,Axon Total Length (millimeters),Basal Dendrite Bias X (millimeters),Basal Dendrite Bias Y (millimeters),Basal Dendrite Contraction,Basal Dendrite Extent X (millimeters),Basal Dendrite Extent Y (millimeters),Basal Dendrite Max Branch Order,Basal Dendrite Max Euclidean Distance (millimeters),Basal Dendrite Max Path Distance (millimeters),Basal Dendrite Num Branches,Basal Dendrite Num Stems,Basal Dendrite Pct Above Axon,Basal Dendrite Pct Below Axon,Basal Dendrite Pct Intersect Axon,Basal Dendrite Soma Percentile X,Basal Dendrite Soma Percentile Y,Basal Dendrite Stem Exit Down,Basal Dendrite Stem Exit Side Less,Basal Dendrite Stem Exit Side More,Basal Dendrite Stem Exit Up,Basal Dendrite Total Length (millimeters),Normalized Soma Depth
Pvalb interneuron,Pvalb Gabrg1,MGE interneuron,669072736,0.251265227,0.092182832,0.871163116,11.24769655,0.368766538,0.397889334,-754.6179965,-52.90640327,280.2489695,-20.73670527,-73.98226012,20,0.344477383,0.499096761,239,0,0,1,0.019262514,0.067093176,0.30183727,0.278914427,8.214630652,0.093710101,0.122809147,0.91079413,0.242508523,0.451366093,8,0.312528196,0.376255465,44,6,0.052967141,0.00980873,0.937224129,0.262873958,0.509073075,0.5,0,0.166666667,0.333333333,2.665877658,0.845181877
Sncg interneuron,Sncg Gpr50,CGE interneuron,652516963,0.248848581,0.352433832,0.799198685,21.19858262,0.614024286,0.489552624,150.8822985,-184.2912598,44.19408339,-179.4815866,-506.4927967,12,0.437347528,0.851096372,69,0,0.240679825,0.759320175,0,0.143914474,0.905701754,0.842161181,4.692035247,0.02704415,0.005097945,0.840621736,0.185364254,0.226041269,6,0.155975462,0.189389305,21,3,0.394854586,0,0.605145414,0.487695749,0.182326622,0.333333333,0,0,0.666666667,1.095560499,0.19669322
Pvalb interneuron,Pvalb Sema3e Kank4,MGE interneuron,718188717,0.247093289,0.033379535,0.891206945,4.791441738,0.527430645,0.232381368,-1015.395401,-100.5563789,718.9536738,407.8133289,-141.1391165,18,0.390515504,0.675992795,353,0,0,1,0.01239843,0.197451536,0.372903507,0.350465851,15.97384133,0.020603285,0.072071735,0.816890263,0.287422941,0.323930253,5,0.337597435,0.530035416,38,6,0.087321164,0.05772077,0.854958066,0.463246177,0.515540207,0.166666667,0.166666667,0.333333333,0.333333333,3.331753645,0.838160799
Sst interneuron,Sst Chrna2 Glra3,MGE interneuron,673427380,0.239544825,0.201477092,0.849131546,23.01925043,0.436638246,0.616232712,-525.9157646,1.584637034,4.809845904,-158.3233732,-295.9040441,21,0.412560407,0.491111979,149,0.426086957,0.007608696,0.566304348,0.013790217,0.481793478,0.227717391,0.38999766,4.881369821,0.012126977,0.124274417,0.870314278,0.277032512,0.235708612,7,0.250719531,0.298526713,41,3,0,0,1,0.337228715,0.718419588,0.666666667,0,0,0.333333333,2.494533745,0.773041941
Pvalb interneuron,Pvalb Th Sst,MGE interneuron,657984709,0.238965054,0.061304892,0.845257416,2.443135715,0.620247858,0.238367891,-564.2393804,51.72092426,234.6729868,28.40984432,-695.1438967,24,0.440465529,0.864879496,239,0.021567106,0.005430566,0.973002327,0,0.288440652,0.715748642,0.323601601,8.419330032,0.102746644,0.073958518,0.876944179,0.3795384,0.182056195,8,0.281904395,0.330647957,52,6,0,0,1,0.348269994,0.833806012,0.333333333,0.166666667,0.166666667,0.333333333,2.251063807,0.885591231
Pvalb interneuron,Pvalb Sema3e Kank4,MGE interneuron,652306478,0.238110425,0.150120868,0.854439779,10.15165747,0.932048381,0.343863091,-2146.229103,-524.8142263,1687.454627,1002.828564,1627.94302,32,0.597712299,0.960108603,607,0.0037214,0,0.9962786,0.013499481,0.350684554,0.10649637,0.338441962,29.40299244,0.050263809,0.010179884,0.861681611,0.41409769,0.433727659,6,0.32078404,0.374806784,35,5,0,0.071368948,0.928631052,0.498330551,0.404006678,0.2,0.2,0.2,0.4,3.008809663,0.833657446
Sst interneuron,Sst Nts,MGE interneuron,740110275,0.237972379,0.403641617,0.834246039,11.72258852,0.704882848,0.812921372,-803.4338081,-67.73690782,389.9655906,174.6106765,-153.9588376,16,0.641215834,1.002118412,191,0.113488074,0.013263451,0.873248476,0.032218734,0.24419724,0.383891325,0.42304697,14.62099578,0.041069327,0.022966294,0.797875866,0.351223711,0.400246516,6,0.216797332,0.379841082,36,4,0,0,1,0.488755622,0.545727136,0.5,0,0.25,0.25,2.909964947,0.846541026
Lamp5 interneuron,Lamp5 Ntn1 Npy2r,CGE interneuron,731882356,0.232020944,0.2379112,0.8185698,4.26600652,0.748068215,0.403560028,336.0144693,1589.028671,-91.96665641,428.7612667,-62.63100921,15,0.497701595,0.853442601,215,0.028601555,0.111111111,0.860287334,0,0.377751417,0.365229999,0.640463607,12.22648255,0.021007399,0.045578753,0.910901335,0.204840255,0.180646794,5,0.171437207,0.236898901,42,4,0,0,1,0.420624152,0.513568521,0.25,0.25,0.5,0,2.4201925,0.087167798
Vip interneuron,Vip Col15a1 Pde1a,CGE interneuron,743458377,0.228210773,0.381861138,0.823585266,14.3577487,0.322608554,0.492203107,697.5930243,311.6811986,240.5776186,-12.68890887,-185.2306706,35,0.456721738,0.987761348,371,0,0.227009575,0.772990425,0.025658154,0.072144289,0.923513694,0.437882355,13.89505315,0.001367837,0.09790989,0.881722647,0.118905544,0.25518302,7,0.209486867,0.257961268,49,3,0.045944006,0,0.954055994,0.414213927,0.686288586,0.333333333,0,0.333333333,0.333333333,2.077762581,0.093188161
Sst interneuron,Sst Mme Fam114a1,MGE interneuron,812996960,0.227750354,0.235351438,0.84656792,49.12819493,0.519555577,0.6954316,1258.683307,-725.4682134,168.5210113,-333.4410857,1009.062741,24,0.56451813,1.012466101,783,0.665737907,0.006440415,0.327821678,0.01478405,0.327821678,0.148357923,0.37738647,33.12132042,0.054848031,0.059751484,0.866872291,0.267608461,0.243930481,6,0.240397382,0.287587,48,6,0,0,1,0.327240303,0.716451181,0.333333333,0.166666667,0.166666667,0.333333333,3.298714843,0.602624969
